t	e	n	u	dpe	dpn	dpu
2015.137600	-0.345653	-0.349222	0.455703	0.000948	0.000825	0.003450
2015.140300	-0.348811	-0.349676	0.448082	0.000942	0.000814	0.003427
2015.143100	-0.346470	-0.350806	0.442502	0.000955	0.000850	0.003569
2015.145800	-0.347041	-0.347842	0.444906	0.000945	0.000801	0.003383
2015.148500	-0.347932	-0.350238	0.459878	0.000954	0.000821	0.003451
2015.151300	-0.348389	-0.350178	0.450875	0.000940	0.000801	0.003405
2015.154000	-0.348677	-0.350491	0.443175	0.000927	0.000810	0.003408
2015.156700	-0.347443	-0.350678	0.449930	0.000931	0.000806	0.003387
2015.159500	-0.348678	-0.347169	0.451081	0.000941	0.000818	0.003443
2015.162200	-0.348154	-0.348356	0.454291	0.000973	0.000859	0.003661
2015.165000	-0.347608	-0.350545	0.444786	0.000950	0.000796	0.003425
2015.167700	-0.347777	-0.349670	0.449475	0.000934	0.000801	0.003394
2015.170400	-0.347938	-0.349281	0.444067	0.000922	0.000803	0.003372
2015.173200	-0.347501	-0.351276	0.447872	0.000962	0.000821	0.003426
2015.175900	-0.346826	-0.351652	0.442716	0.000955	0.000801	0.003376
2015.178600	-0.349395	-0.351730	0.450197	0.000921	0.000802	0.003387
2015.184100	-0.348538	-0.351110	0.443813	0.000972	0.000849	0.003649
2015.186900	-0.345967	-0.349747	0.440362	0.000942	0.000828	0.003541
2015.189600	-0.348595	-0.350869	0.441194	0.000940	0.000808	0.003463
2015.192300	-0.347848	-0.351212	0.449275	0.000939	0.000795	0.003372
2015.195100	-0.350179	-0.349385	0.449365	0.000942	0.000817	0.003434
2015.197800	-0.348273	-0.349732	0.444046	0.000928	0.000812	0.003505
2015.200500	-0.345627	-0.350439	0.438084	0.000942	0.000786	0.003403
2015.203300	-0.348870	-0.351241	0.430599	0.000960	0.000822	0.003582
2015.206000	-0.345762	-0.353194	0.454886	0.000935	0.000816	0.003487
2015.208800	-0.347399	-0.351597	0.443289	0.000921	0.000789	0.003381
2015.211500	-0.346649	-0.346584	0.436846	0.000914	0.000795	0.003390
2015.214200	-0.349795	-0.349267	0.437556	0.000992	0.000846	0.003603
2015.217000	-0.348914	-0.352319	0.437192	0.001325	0.001244	0.005306
2015.222500	-0.348784	-0.349445	0.437943	0.000956	0.000813	0.003509
2015.225200	-0.348547	-0.350312	0.430037	0.000902	0.000792	0.003333
2015.227900	-0.348428	-0.352774	0.422863	0.000906	0.000782	0.003357
2015.230700	-0.347184	-0.350520	0.435272	0.000942	0.000819	0.003465
2015.233400	-0.347683	-0.350906	0.431179	0.000946	0.000815	0.003355
2015.241600	-0.351206	-0.350306	0.436228	0.001007	0.000832	0.003551
2015.244400	-0.349415	-0.351963	0.433146	0.001018	0.000854	0.003584
2015.249800	-0.349719	-0.352290	0.438807	0.000922	0.000809	0.003435
2015.252600	-0.350223	-0.351777	0.435926	0.000929	0.000791	0.003407
2015.255300	-0.348503	-0.350451	0.434656	0.000935	0.000816	0.003470
2015.258000	-0.345895	-0.350745	0.441504	0.000916	0.000803	0.003408
2015.260800	-0.347268	-0.352504	0.448475	0.000917	0.000788	0.003369
2015.263500	-0.349819	-0.354061	0.442480	0.000925	0.000804	0.003426
2015.266300	-0.347683	-0.350850	0.442816	0.000900	0.000799	0.003360
2015.269000	-0.349940	-0.352623	0.435371	0.000950	0.000805	0.003500
2015.271700	-0.350489	-0.353178	0.432945	0.000926	0.000854	0.003541
2015.274500	-0.350280	-0.352754	0.423827	0.000935	0.000830	0.003501
2015.277200	-0.348093	-0.349879	0.426433	0.000911	0.000812	0.003423
2015.279900	-0.347324	-0.352237	0.429367	0.000895	0.000785	0.003329
2015.282700	-0.349655	-0.351330	0.427781	0.000894	0.000790	0.003307
2015.285400	-0.350832	-0.353217	0.435647	0.000911	0.000799	0.003373
2015.288200	-0.348166	-0.352755	0.430706	0.000924	0.000805	0.003402
2015.290900	-0.348243	-0.352555	0.429535	0.000909	0.000806	0.003399
2015.301800	-0.346946	-0.353064	0.427419	0.000958	0.000815	0.003526
2015.304600	-0.349570	-0.352373	0.424578	0.000931	0.000795	0.003461
2015.307300	-0.349557	-0.349044	0.427059	0.000913	0.000792	0.003409
2015.310100	-0.349142	-0.350328	0.425390	0.000940	0.000825	0.003568
2015.312800	-0.349244	-0.349510	0.426768	0.000908	0.000803	0.003443
2015.315500	-0.350034	-0.351632	0.420695	0.000894	0.000780	0.003327
2015.318300	-0.351113	-0.348665	0.421150	0.000876	0.000774	0.003267
2015.321000	-0.350555	-0.350648	0.426670	0.000903	0.000799	0.003412
2015.323800	-0.352404	-0.350665	0.422732	0.000870	0.000774	0.003224
2015.326500	-0.348001	-0.346669	0.418023	0.001412	0.001177	0.004908
2015.329200	-0.349573	-0.349429	0.418735	0.000882	0.000789	0.003302
2015.332000	-0.350586	-0.352041	0.415528	0.000944	0.000837	0.003580
2015.337400	-0.349920	-0.349054	0.425162	0.000870	0.000777	0.003199
2015.340200	-0.350311	-0.351309	0.417915	0.000878	0.000784	0.003271
2015.342900	-0.350417	-0.349524	0.419614	0.000925	0.000805	0.003422
2015.345700	-0.349863	-0.350441	0.427757	0.000868	0.000775	0.003201
2015.348400	-0.351351	-0.350088	0.423709	0.000880	0.000782	0.003271
2015.351100	-0.350323	-0.347486	0.416835	0.000902	0.000796	0.003371
2015.353900	-0.349428	-0.350078	0.422987	0.000898	0.000782	0.003309
2015.356600	-0.348457	-0.350033	0.413856	0.000883	0.000772	0.003270
2015.359300	-0.350809	-0.350909	0.419278	0.000899	0.000780	0.003273
2015.362100	-0.351796	-0.349101	0.418482	0.000911	0.000792	0.003358
2015.364800	-0.350112	-0.352121	0.415791	0.000970	0.000840	0.003571
2015.367600	-0.351556	-0.351943	0.411685	0.000887	0.000792	0.003352
2015.370300	-0.350108	-0.349854	0.418807	0.000888	0.000790	0.003322
2015.373000	-0.350091	-0.351555	0.419596	0.000870	0.000768	0.003228
2015.375800	-0.351911	-0.350959	0.418444	0.000881	0.000775	0.003262
2015.378500	-0.349047	-0.351741	0.412551	0.000978	0.000822	0.003631
2015.381200	-0.349229	-0.351167	0.417954	0.000901	0.000783	0.003358
2015.384000	-0.350150	-0.353507	0.425531	0.000893	0.000790	0.003343
2015.386700	-0.350430	-0.349598	0.415830	0.000888	0.000792	0.003334
2015.389500	-0.347122	-0.351365	0.416241	0.000888	0.000788	0.003306
2015.392200	-0.348778	-0.351055	0.416270	0.000905	0.000795	0.003376
2015.394900	-0.349581	-0.349708	0.413612	0.000907	0.000791	0.003360
2015.397700	-0.347673	-0.351700	0.405179	0.000918	0.000818	0.003457
2015.400400	-0.347448	-0.349142	0.417279	0.000905	0.000798	0.003391
2015.403100	-0.348610	-0.350260	0.417657	0.000910	0.000776	0.003392
2015.405900	-0.350563	-0.348675	0.417931	0.000818	0.000721	0.003061
2015.408600	-0.351983	-0.348920	0.415340	0.000820	0.000732	0.003017
2015.411400	-0.351140	-0.348225	0.423831	0.000807	0.000704	0.002957
2015.414100	-0.352417	-0.348971	0.418561	0.000819	0.000729	0.003066
2015.416800	-0.352068	-0.348616	0.422915	0.000816	0.000719	0.003021
2015.419600	-0.348761	-0.350090	0.418651	0.000806	0.000708	0.003003
2015.422300	-0.348830	-0.349395	0.416239	0.000797	0.000718	0.002955
2015.425100	-0.349601	-0.348006	0.417757	0.000846	0.000730	0.003092
2015.427800	-0.349660	-0.348573	0.412317	0.000815	0.000726	0.003011
2015.430500	-0.347489	-0.347255	0.420669	0.000802	0.000702	0.002937
2015.433300	-0.347895	-0.347304	0.420583	0.000796	0.000693	0.002936
2015.436000	-0.347948	-0.346101	0.410184	0.000806	0.000712	0.002951
2015.438700	-0.348630	-0.351290	0.407069	0.000824	0.000712	0.003081
2015.441500	-0.350950	-0.349837	0.405505	0.000884	0.000759	0.003243
2015.444200	-0.350308	-0.350000	0.413214	0.000824	0.000715	0.003043
2015.447000	-0.352570	-0.352801	0.422766	0.000860	0.000741	0.003280
2015.449700	-0.353974	-0.347517	0.418487	0.000806	0.000716	0.003017
2015.452400	-0.349196	-0.349146	0.413808	0.000828	0.000736	0.003207
2015.455200	-0.352024	-0.350004	0.415266	0.000818	0.000708	0.003008
2015.457900	-0.350197	-0.348039	0.416080	0.000799	0.000712	0.003015
2015.460600	-0.352661	-0.349841	0.422613	0.000835	0.000729	0.003038
2015.463400	-0.352571	-0.349829	0.423614	0.000988	0.000925	0.003805
2015.493500	-0.349380	-0.347577	0.413073	0.000843	0.000717	0.003018
2015.496200	-0.349631	-0.345505	0.416680	0.000836	0.000707	0.003025
2015.501700	-0.350743	-0.347313	0.420903	0.000857	0.000744	0.003198
2015.504400	-0.350965	-0.348201	0.420881	0.000797	0.000694	0.002914
2015.507200	-0.349835	-0.348031	0.424488	0.000817	0.000706	0.003015
2015.509900	-0.353641	-0.349506	0.422738	0.000799	0.000707	0.002928
2015.512700	-0.351218	-0.348418	0.420728	0.000800	0.000698	0.002937
2015.515400	-0.351346	-0.350158	0.414843	0.000802	0.000713	0.002984
